ID,g_snps,i_snps,g_td,i_td
1,17841,13143,-1.4580805201246,-1.55043937044534
10,25879,13497,-1.46575522816392,-1.35236034912281
100,19926,4387,-1.43656337988335,-0.953856320346821
10001,23237,11250,-1.64410334206107,-1.49413329134278
10002,1877,10192,-0.813063122524977,-1.44682207802875
10003,6186,8971,-1.01614267820468,-1.37503676284939
10004,2595,16798,-0.7065512209799,-1.3178458149081
10005,6847,12652,-1.02195569016129,-1.54041794358108
10006,20743,9607,-1.40415771749458,-1.34743309411239
10007,18888,18096,-1.20924183478715,-1.31575345931174
10008,13985,12098,-1.32702341763211,-1.39301739131579
10009,13939,5447,-1.05274796077043,-0.910469229847645
1001,22869,1341,-1.48174043808562,-0.806438235639535
10010,30043,14252,-1.45867255124498,-1.42231230236327
10011,12816,10280,-1.36861825273312,-1.5170258512289
10012,4789,12399,-0.943354515692008,-1.53476088387534
10013,9433,7935,-1.18199566830858,-1.32326725598377
10014,4693,14470,-0.881174503157895,-1.50254372650847
10015,13683,12353,-1.25056473797177,-1.51830800479082
10016,18179,4478,-1.45868830052272,-1.06665728763169
10017,10891,7510,-1.25459853029687,-1.32188109167231
10018,3595,15279,-0.856056243034973,-1.58034485325203
10019,24290,13523,-1.63249792464257,-1.59790620054018
1002,8646,6756,-1.05660681341977,-1.16996665660751
10020,16911,9749,-1.06826309786704,-1.11163017424899
10021,8644,11043,-1.09714379793959,-1.42810238579161
10022,13724,14331,-1.14981357762001,-1.31080699824206
10023,19814,1896,-1.3917789246629,-0.810784377755331
10024,21434,10310,-1.19642957780635,-1.1083754720473
10025,3746,2750,-0.880277495283521,-0.942369780348653
10026,22342,4015,-1.63367485404101,-1.05072811084871
10027,22174,13492,-1.47581356599197,-1.54382336529372
10028,23354,6414,-1.46337375925673,-1.10290823817194
10029,25174,12796,-1.53989657361044,-1.5011182965587
1003,14887,2015,-1.36392367626769,-0.807931357954546
10030,5698,15244,-0.785033320432933,-1.41485269222973
10031,9344,8100,-1.04842825626242,-1.23423474888287
10032,1042,7701,-0.709294453778559,-1.20273105266207
10033,18030,3434,-1.48105070924132,-0.986981009073507
10034,19669,9366,-1.38271741742972,-1.23075771324781
10035,14830,4474,-1.41072464154732,-1.09529201135018
10036,7147,8249,-0.989257777913302,-1.27989885662125
10037,6802,14640,-0.812387728965669,-1.28886430885734
10038,14975,16180,-1.25210380599195,-1.48641318117409
10039,14048,5790,-1.33109603114424,-1.17394280292784
1004,7806,11830,-1.01025500481933,-1.35939992993243
10040,21152,11933,-1.24294871932342,-1.27678336972046
10041,18199,5865,-1.46157755926358,-1.12969377215713
10042,25900,12282,-1.49348690678988,-1.41570712280702
10043,15932,6271,-1.27041769491158,-1.00366196806465
10044,6271,7195,-0.890551689593176,-1.17062943177189
10045,23572,4222,-1.43858843708317,-0.931344128125221
10046,10782,3385,-1.00156306010221,-0.797747672896915
10047,16521,11126,-1.32318516472698,-1.44038753097166
10048,5923,403,-0.944678976732231,-0.725729337254902
10049,15228,4907,-1.37244589288299,-1.07981960811798
1005,5674,13781,-0.98859979624198,-1.54689123910751
10050,20360,10626,-1.31806545386902,-1.28209620559379
10051,2954,18392,-0.651843352585034,-1.27388898015197
10052,5037,11235,-0.878876145965418,-1.31770711910569
10053,16467,10887,-1.36072478967418,-1.35675710465587
10054,19559,3061,-1.3761755005925,-0.855978182085646
10055,15833,14306,-1.19821418218423,-1.26438827273954
10056,10193,10591,-1.20435696770902,-1.49818281141121
10057,16277,8845,-1.2594513688905,-1.10940485196203
10058,6063,8891,-0.911808043348155,-1.28366925661914
10059,11988,3843,-1.24236126719927,-0.973633564739162
